Model,test_BLEU_1_mean,test_BLEU_1_std,test_BLEU_1_n,test_BLEU_2_mean,test_BLEU_2_std,test_BLEU_2_n,test_BLEU_3_mean,test_BLEU_3_std,test_BLEU_3_n,test_BLEU_4_mean,test_BLEU_4_std,test_BLEU_4_n,test_METEOR_mean,test_METEOR_std,test_METEOR_n,test_ROUGE_L_mean,test_ROUGE_L_std,test_ROUGE_L_n
Conch,0.7230946954713542,0.022610994049062853,5,0.6852467859087439,0.02220303645705076,5,0.6512059152355845,0.021528384842253858,5,0.623811172971159,0.02091502064680432,5,0.45396147451846885,0.014363018801827597,5,0.6993790234477203,0.02009454335787962,5
HistGen,0.709063918934141,0.02916014761144013,5,0.6724049359913022,0.029268104312023157,5,0.6401740238784751,0.02846246840735925,5,0.61416805883444,0.027536178385682928,5,0.4432981826804583,0.01641885675886282,5,0.6838484229588122,0.028408499844436785,5
TITAN,0.7393888864393118,0.04260897098315467,5,0.7033637898293907,0.0407846539370883,5,0.6702728201079478,0.037479499887896804,5,0.6427848280472894,0.03423714085108753,5,0.4666258001953083,0.02224640502109616,5,0.7599944130486949,0.02463431710526158,5
UNI,0.72065226416584,0.031978857051518025,5,0.683115564581337,0.03158466279362567,5,0.649546025379297,0.03013898670746304,5,0.6220417854664391,0.028836182154248425,5,0.45040334570836366,0.020297880287093364,5,0.6935515527452997,0.02229191753132652,5
UNI2,0.740243839888808,0.027628906059919044,5,0.7017796843325913,0.029217649317936415,5,0.6675354908610261,0.03015473850698243,5,0.6395879338229878,0.03097358782518304,5,0.46348838141814025,0.019501188095158654,5,0.7141351347673364,0.026213097536266917,5
