Comparison,Baseline_Mean,Baseline_Std,Model_Mean,Model_Std,Mean_Diff,t_statistic,p_value,Cohens_d,Effect_Size,Boot_CI_Lower,Boot_CI_Upper,CI_Excludes_Zero,Significant,Significance
TITAN vs UNI,0.6815042034132868,0.01936677934131757,0.742455959847838,0.02256322274173628,0.060951756434551196,9.14600031318499,0.0007932009158862786,2.898898769089787,large,0.04782932626570058,0.07089193199139328,True,True,***
TITAN vs UNI2,0.6983326630866019,0.02651160611577354,0.742455959847838,0.02256322274173628,0.04412329676123605,2.640289134480847,0.05756296603607256,1.7924128223354265,large,0.014284725950717725,0.07042073363289494,True,False,ns
TITAN vs Conch,0.6912977963426562,0.01812206369077337,0.742455959847838,0.02256322274173628,0.051158163505181764,5.046566959397347,0.0072485396571560735,2.4999735059786476,large,0.03391698128155498,0.06916828829673997,True,True,**
