Metric,Comparison,Model,Baseline_Mean,Baseline_Std,Model_Mean,Model_Std,Mean_Diff,n_pairs,t_statistic,p_value,Cohens_d,Effect_Size,Boot_CI_Lower,Boot_CI_Upper,CI_Excludes_Zero,Significant,Significance
test_BLEU_1,TITAN vs CONCH,CONCH,0.7393888864393118,0.04260897098315467,0.7230946954713542,0.022610994049062853,0.01629419096795759,5,0.860200394028598,0.4381814729780401,0.38469331106400984,small,-0.015691924824454494,0.04931057997165056,False,False,ns
test_BLEU_1,TITAN vs UNI,UNI,0.7393888864393118,0.04260897098315467,0.72065226416584,0.031978857051518025,0.018736622273471726,5,0.8664580406835355,0.4351198294419717,0.38749181572393276,small,-0.020680683307736626,0.054181714061540195,False,False,ns
test_BLEU_1,TITAN vs UNI2,UNI2,0.7393888864393118,0.04260897098315467,0.740243839888808,0.027628906059919044,-0.0008549534494962652,5,-0.0421772985819809,0.9683787440651466,-0.018862261347322957,negligible,-0.03489075122231382,0.033180844323321065,False,False,ns
test_BLEU_2,TITAN vs CONCH,CONCH,0.7033637898293907,0.0407846539370883,0.6852467859087439,0.02220303645705076,0.018117003920646857,5,1.0113396624816497,0.3690601259043703,0.45228484673013253,small,-0.012000335976128929,0.05074877552256427,False,False,ns
test_BLEU_2,TITAN vs UNI,UNI,0.7033637898293907,0.0407846539370883,0.683115564581337,0.03158466279362567,0.020248225248053697,5,0.9793701884244169,0.3828494650354359,0.4379876632907547,small,-0.01707950098109203,0.05428442116415302,False,False,ns
test_BLEU_2,TITAN vs UNI2,UNI2,0.7033637898293907,0.0407846539370883,0.7017796843325913,0.029217649317936415,0.0015841054967994372,5,0.07967650042776216,0.9403215266187064,0.03563241423315345,negligible,-0.0324814079117071,0.03451300051413266,False,False,ns
test_BLEU_3,TITAN vs CONCH,CONCH,0.6702728201079478,0.037479499887896804,0.6512059152355845,0.021528384842253858,0.01906690487236329,5,1.1537256818586938,0.3128563561588198,0.515961810404667,medium,-0.008467033590428908,0.04873708375962549,False,False,ns
test_BLEU_3,TITAN vs UNI,UNI,0.6702728201079478,0.037479499887896804,0.649546025379297,0.03013898670746304,0.0207267947286508,5,1.0790514399140378,0.3412884028901869,0.4825664741733637,small,-0.013669325685084388,0.052524732098297736,False,False,ns
test_BLEU_3,TITAN vs UNI2,UNI2,0.6702728201079478,0.037479499887896804,0.6675354908610261,0.03015473850698243,0.002737329246921605,5,0.14562766140470382,0.8912591431019238,0.06512667006104807,negligible,-0.027788247534500887,0.03326290602834401,False,False,ns
test_BLEU_4,TITAN vs CONCH,CONCH,0.6427848280472894,0.03423714085108753,0.623811172971159,0.02091502064680432,0.01897365507613047,5,1.2459513414446877,0.28077419399463577,0.5572063792254746,medium,-0.006133040377051491,0.04692931977378403,False,False,ns
test_BLEU_4,TITAN vs UNI,UNI,0.6427848280472894,0.03423714085108753,0.6220417854664391,0.028836182154248425,0.020743042580850357,5,1.1600980305138833,0.3105337565396922,0.5188116113585336,medium,-0.012147398809561127,0.05038443360236562,False,False,ns
test_BLEU_4,TITAN vs UNI2,UNI2,0.6427848280472894,0.03423714085108753,0.6395879338229878,0.03097358782518304,0.003196894224301583,5,0.1802283891691094,0.8657356989881182,0.08060058593148309,negligible,-0.02504105418369662,0.03263086741292527,False,False,ns
test_METEOR,TITAN vs CONCH,CONCH,0.4666258001953083,0.02224640502109616,0.45396147451846885,0.014363018801827597,0.01266432567683945,5,1.246661443341467,0.28053968577624017,0.5575239464479045,medium,-0.0029633680555518293,0.03067114778121439,False,False,ns
test_METEOR,TITAN vs UNI,UNI,0.4666258001953083,0.02224640502109616,0.45040334570836366,0.020297880287093364,0.01622245448694465,5,1.7357604906851718,0.15761724029738075,0.7762556899660868,medium,-0.0009084893570131314,0.03143022396562976,False,False,ns
test_METEOR,TITAN vs UNI2,UNI2,0.4666258001953083,0.02224640502109616,0.46348838141814025,0.019501188095158654,0.003137418777168055,5,0.24113226155912007,0.8213085952425175,0.10783762568289039,negligible,-0.022032508369229098,0.024062421235420073,False,False,ns
test_ROUGE_L,TITAN vs CONCH,CONCH,0.7599944130486949,0.02463431710526158,0.6993790234477203,0.02009454335787962,0.06061538960097457,5,6.6554011986597565,0.0026470441239296026,2.9763858995473593,large,0.0465845835815115,0.07725911765608559,True,True,**
test_ROUGE_L,TITAN vs UNI,UNI,0.7599944130486949,0.02463431710526158,0.6935515527452997,0.02229191753132652,0.06644286030339519,5,5.7941664861999564,0.004410803520949042,2.59123002721884,large,0.0469701675507163,0.08491406914946346,True,True,**
test_ROUGE_L,TITAN vs UNI2,UNI2,0.7599944130486949,0.02463431710526158,0.7141351347673364,0.026213097536266917,0.045859278281358495,5,2.785956830627351,0.04951609730573168,1.245917771132525,large,0.017897836056761363,0.07382072050595553,True,True,*
